title,year,rating,director,stars
Ketukan Di Pintu: A Knock at the Door,2020,,Alfa Kakauhe,"Alfa Kakauhe,Alfa Kakauhe"
Path of Light,2012,,Monica Figueredo,Monica Figueredo
Ryoko Kaban,2016,,Timoteus Anggawan Kusno,"Timoteus Anggawan Kusno,Timoteus Anggawan Kusno,Timoteus Anggawan Kusno"
The Limits,2010,,Iqbal Rais,"Iqbal Rais,Ben Sihombing,Cindy Suryadji"
Sepasang merpati,1979,,Chaerul Umam,"Afrizal Anoda,Amak Baldjun,Aminah Cendrakasih"
Ateng Mata Keranjang,1975,,Asrul Sani,"Ateng,Iskak,Azwar An"
Noda tak berampun,1970,,Turino Junaidy,"Rima Melati,Farouk Afero,Rahmat Kartolo"
Fadjar ditengah kabut,1966,,Danu Umbara,"Nico Pelamonia,Ratno Timoer,Rita Zahara"
Pengantin,1990,,Wim Umboh,"Zainal Abidin,Afrizal Anoda,Pitradjaya Burnama"
Hati yang perawan,1984,,Chaerul Umam,"Deddy Mizwar,Sitoresmi Prabuningrat,Nurul Arifin"
Mulai Bicara (Start Talking),2018,,Andrew Trigg,"Andrew Trigg,Sary Latief"
Mamam Means Eating Only if It's Spelled Backwards,2018,,Ivo Saka Yuvens,
Lies,2011,,Soma Helmi,"Soma Helmi,Soma Helmi,Carolina Bergier"
Pengakuan seorang perempuan,1974,,Turino Junaidy,"Tanty Josepha,Tuty S.,Rahmat Kartolo"
Delivering Peter Rabbit,2014,,Conrad Hughes,
Dara kembar,1960,,Rd. Ariffien,"Rd. Ariffien,Boes Boestami,Komalasari"
Asmara murni,1953,,L. Inata,"A.N. Alcaff,S. Bono,Mien Sondakh"
Death Songs & Car Bombs,2014,,,
Nindy,2011,,Corey Kupfer,"Corey Kupfer,Corey Kupfer,Allya Arrahim"
As Nature Made Him,2020,,Fazhrin Salshabila,"Dafa,Robiana Kardano,Michael Limantoro"
Sendja di Djakarta,1967,,Nico Pelamonia,"Farouk Afero,Rahadi Ismail,Mila Karmila"
Filastine: Colony Collapse,2012,,Astu Prasidya,"Astu Prasidya,Grey Filastine"
Rocker Balik Kampung,2018,,Uli Rahman,"Winky Wiryawan,Bisma Karisma,Maryam Supraba"
Teror Video Misterius,2012,,Dave Ived Haristia,"Ferdi Ali,Swara Andhika Emil,Febriyane"
Perjuangan dan Do'a,1980,,Rhoma Irama,"Alwi A.S.,Chitra Dewi,Rhoma Irama"
KK 17,1964,,M.D. Aliff,"Mila Karmila,Ismed M. Noor,Sukarno M. Noor"
Halaman belakang,2013,,Yusuf Radjamuda,Yusuf Radjamuda
Sejarang,2019,,Dedetria Holyri,"Dedetria Holyri,Novi Anna,Erlina Christina"
Musafir kelana,1953,,S. Waldy,"Aminah Cendrakasih,Rd Dadang Ismail,W.D. Mochtar"
It's Not Here Anymore,2012,,Zidny Nafian,"Zidny Nafian,Vonny Kanisius,Amanda Kusai"
Horison,2014,,Samuel Ruby,"Putri Emelli,Bryan Gunawan,Bryant Sidarta"
Bride's Slave,2018,,Lies Nanci,
Lukisan perkawinan,1996,,Dian Hasri,Dian Hasri
People of the Coral Triangle,2010,,James Morgan,"James Morgan,Ani Kasim,Johnny Langenheim"
Love is Trap,2016,,Hanung Bramantyo,
Decaffeinated,2013,,Luhki Herwanayogi,"Luhki Herwanayogi,Luhki Herwanayogi,Satriyo Hanindhito"
The Main Function of Music - Muslim Headbanger,2017,,Irfan Kamil Muhammad,"Abdul Rehan Anderson,Putrawan Yuliandri,Bounty Umbara"
Kuberikan Segalanya,1992,,Galeb Husein,"Nihayah Abubakar,H.I.M. Damsyik,Anwar Fuady"
Aya Ibrahim: Malaikat tak bersayap,2020,,Darius Manihuruk,
Harmoni,2015,,Roland Wiryawan,
Jauh di mata,1973,,Willy Wilianto,"Ida Abdi,Ratmi B-29,Astri Ivo"
Sentuhan kasih,1982,,Willy Wilianto,"Dian Anggrianie,Hamid Arief,Dian Ariestya"
Pemburu Mayat,1972,,Kurnaen Suhardiman,"Nenny Triana,Titiek Puspa,Alam Rengga Surawidjaja"
Trash Story,2019,,Thomas B Fisk,
Ketok,2003,,Tintin Wulia,Tintin Wulia
Jin Galunggung,1982,,Ratno Timoer,"Ratno Timoer,Sandy Suwardi Hasan,Rina Hasyim"
Rasa dari Tari: The Soul of Dance,2014,,Mark Freeman,
Biarkan Bintang Menari,2003,5.9,Indra Yudhistira,"Ladya Cheryl,El Manik,Memes"
Belrusak,2020,,Hanindito Buwono,
Menunggu sepi,2009,,Nurman Hakim,"Nurman Hakim,Nurman Hakim,Hessa Nurhayati"
Guna guna,2015,,Narindro Aryo Hutomo,"Narindro Aryo Hutomo,Narindro Aryo Hutomo,Heri Setiawan"
Konser Berbagi Kasih,2020,,Darius Manihuruk,
The House at a Thousand Waves,2012,,Erwin Arnada,"Risjad Aden,Riman Jayadi,Andre Julian"
Borobudur: Beyond the Reach of Time,1983,,Francine Van De Wiele,"Francine Van De Wiele,Haryati Soebadio"
Masa topan dan badai,1963,,D. Djajakusuma,"Wahab Abdi,Ariati,Bambang Irawan"
Setelah 15 Tahun...,2013,5.5,Tino Saroengallo,Tino Saroengallo
Terajar,2018,,Niken Nabrita,"Niken Nabrita,Niken Nabrita,Shintia Adiningsih"
Gadis Bionik,1982,6.4,Ali Shahab,"Hamid Arief,Eva Arnaz,Dorman Borisman"
Harta Berdarah,1940,,Rd. Ariffien,"Soelastri,Zonder,R.S. Fatimah"
Rock Bergema: A Story Behind the Rock Anthem,2012,,Arief Asril,"Aria Baron,Pay Burman,Jimi Multazam"
Tak ingin sendiri,1985,,Ida Farida,"Rano Karno,Meriam Bellina,Harry Capri"
Cendol,2010,,Leony Vitria Hartanti,
Merindu Mantan,2012,6.7,Andri Cung,"Rangga Djoned,Aimee Saras,Novita Savitri"
Anjing-anjing geladak,1972,,Nico Pelamonia,"Sandy Suwardi Hasan,W.D. Mochtar,Sjuman Djaya"
Marid,2017,,Galuh Alifani,"Galuh Alifani,Arief W.,Dwi R."
Impian perawan (Melati),1976,,Chris Pattikawa,"Broery Marantika,Christine Hakim,Wahab Abdi"
Andmesh: Nyaman,2019,,Bennedict Agung,"Bennedict Agung,Gilang Ramadhan"
Petir sepandjang malam,1967,,Syarifuddin,"A. Abdurachman,Aisjah,Astaman"
7 days in a Baik thongs,2011,,François Pragnere,
Badai jalanan,1989,,Dhany Firdaus,"George Rudy,Kiki Fatmala,Johny Indo"
Di bawah langit,2010,,Opick,"Inneke Koesherawati,Agus Kuncoro,Dolly Martin"
Optatissimus,2013,,Dirmawan Hatta,"Dirmawan Hatta,Rio Dewanto,Landung Simatupang"
Api dibukit menorah,1971,,D. Djajakusuma,"Nuniek Gunadi,Husin Lubis,Moh Mochtar"
Moestika dari djenar,1941,,Jo An Djan,"Jo An Djan,Dhalia"
Senen raja,1954,,S. Waldy,"Dampu Awang,Rd Dadang Ismail,R.D. Endang"
Miss You,2019,,Muhammad Hafiz,"Dellastri Agoesra,Muhammad Hafiz,Taufiq Rizky Hidayat"
Embun,1951,,D. Djajakusuma,"Cassin Abbas,A.N. Alcaff,D. Arifin"
Mak Itam and Me,2009,,Ricky Avenzora,Ricky Avenzora
Bukan Salahmu,2020,,Nicky Richsandy Pramana,"Faris Athaulah,Vergina Damayanti,Muhammad Fakhry"
Har,2018,,Luhki Herwanayogi,"Luhki Herwanayogi,Luhki Herwanayogi"
Merangkai Pelangi,2014,,Yudha Wibisono,"Yudha Wibisono,Gorby Rizon,Jenny Sekartaji"
Kutukan ibu,1973,,Turino Junaidy,"Farouk Afero,Amalia,Lenny Marlina"
Nostalgia Senja,2015,,Fazhila Anandya,"Fazhila Anandya,Fazhila Anandya,Kristo Parinters Makur"
Delapan Pendjuru Angin,1957,,Usmar Ismail,"Dian Anggrianie,Chitra Dewi,Bambang Hermanto"
The Storyteller,2008,,Adriyanto Dewo,"Adriyanto Dewo,Adriyanto Dewo,Titi Rajo Bintang"
6 Idiots: Colors,2016,,Muhammad Hafiz,"Latifah Annur,Witri Asmaida,Muhammad Hafiz"
Terbelenggu,2014,,Maula Nadia Rachmanto,"Dyanka Hayuningtias Maharani,Varizka Anjani,Hanindito Buwono"
Tie Pat Kai Kawin,1935,,,
Slow Loris Having Teeth Cut,2014,,,
Pembakaran Bio 'Hong Lian Sie',1936,,,
Operasi hansip 13,1965,,Turino Junaidy,"Oslan Husein,Alwi Oslan,Sri Redjeki"
Rahmania Astrini: Shush,2021,,Ivan Saputra Alam,"Ivan Saputra Alam,Rahmania Astrini"
Persaingan remaja,1984,,Willy Wilianto,"Dina Mariana,Donny Nurhadi,Enny Beatrice"
Aladin,1975,8.1,Matnoor Tindaon,"Osman Alwi,S. Bagio,Aminah Cendrakasih"
Debu Revolusi,1954,,Syamsuddin Syafei,"Ismah B.S.,R.D. Ismail,Mimi Mariani"
Rewel,1955,,Hamid Arief,"Hamid Arief,Nurnaningsih"
Mbok Mikir!,2006,,Yuda Kurniawan,"Yuda Kurniawan,Agung Prasetyo,Intan Nurul"
Cleaning the Fish,2013,,Myrna Paramita,"Myrna Paramita,2 more credits,Putri Ayudya"
Iseng,1959,,Turino Junaidy,"Alwi Oslan,Tatik Maliyati,M. Pandji Anom"
Living On,2013,,Adi Wijananda,"Adi Wijananda,Abiyyu Rahman,Athalla Dharmaputra"
Hantu Merah Casablanca,2014,,Dedy Mercy,"Rizuka Amor,Eva Asmarani,Hengky Kurniawan Chova"
After 12 Years,2016,,Yuda Kurniawan,Yuda Kurniawan
"You Got the Money, I Got the Soul",2014,,Amir Pohan,"Amir Pohan,Amir Pohan"
Dkn 901,1962,,Wagimin A. Tjokrowardojo,"Wahab Abdi,Hamid Arief,Anas S. Bey"
Ambyar,2015,,Jeihan Angga,"Jeihan Angga,Jeihan Angga,Pamela Ingrida"
Kesan pertama,1985,,M.T. Risyaf,"Barry Prima,Lia Warokka,Abizars"
Teruna djenaka,1960,,Liliek Sudjio,"Liliek Sudjio,S. Bagio"
Gara-gara janda kaya,1977,,Azwar An,"Cahyono,Enny Haryono,Enny Kusrini"
Manusia berilmu gai,1981,,Liliek Sudjio,"Teddy Purba,Alicia Djohar,Hamid Arief"
Ambarrukmo: Kedhaton dalam Pusaran Waktu,2016,,Agustinus Dwi Nugroho,"Agustinus Dwi Nugroho,Himawan Pratista,Agustinus Dwi Nugroho"
Terimaiah laguku,1952,,D. Djajakusuma,"Cassin Abbas,Damajanti,Marlia Hardi"
Pantiku Istanaku,2013,,Toto Hoedi,"Vito Deyvin,Dhafania Nazwatika,Ozan"
The Infamous Leader of Indonesia's Debt Forgiveness Cult,2018,,Arman Dzidzovic,"Arman Dzidzovic,Rizky Rahadianto"
Rahmania Astrini: Menua Bersama,2018,,Rahmania Astrini,
Madju tak gentar,1965,,Turino Junaidy,"Sri Redjeki,Turino Junaidy,Farouk Afero"
Sabyan: Sapu Jagat,2021,,Ayus,"Ayus,Dawan"
Harimau dan merpati,1953,,Hu,"Hamid Arief,S. Muljati,Noviar"
Krisis X,1975,,Turino Junaidy,"Farouk Afero,Bambang Hermanto,Lenny Marlina"
The Drown Sea,2006,,Yuslam Fikri Anshari,
Malam,2013,,Dira Nararyya,"Sadira Saraswathi,Hanan Cinthya,Riris Marpaung"
Zoester Theresia,1932,,M.H. Schilling,"Carl Schilling,F. Bernhard,R. Diephuis"
Seribu Janji Kumenanti,1972,,Iksan Lahardi,"Iksan Lahardi,Andy Auric"
Dino,2013,,Edward Gunawan,"Arif Dharma,Wilza Lubis,Surya Saputra"
Musik Hati,2008,,Angga Dwimas Sasongko,"Risty Tagor,Annisa Hadju,Ben Kasyafani"
2 Worlds,2016,,Christiansen Megumi Kanta,"Cafalundi Brilianegoro,Yasmin Nurul Hafsanah,Michael Juan"
Sentuhan Rumput yang Bergoyang,1986,8.2,Willy Wilianto,"Harry Capri,Yana Diana,Rosy Fribuana"
Titian serambut dibelah tudjuh,1959,,Asrul Sani,"S. Effendi,A. Hadi,Tatik Maliyati"
Ouw Peh Tjoa,1934,,The Tang Chun,
Ten Days for Five Centuries,2010,,Pinkan Veronique,"Pinkan Veronique,Erastiany Asikin"
Reformasi Luar Angkasa,2010,,Edwin Soedarmadji,"Edwin Soedarmadji,Edwin Soedarmadji"
The Mummy Thief,2008,,Agung Setyawan,"Agung Setyawan,Hee Yah Ong"
Istana Kecantikan,1989,5.6,Wahyu Sihombing,"Soendjoto Adibroto,Nurul Arifin,Joice Erna"
The Mother Giveth The Sons Taketh (Ri Balla'),2017,,Chairul Rijal Juanda,"Chairul Rijal Juanda,Hj Dahlia,Iqbal Hasan"
Sekala,2020,,Umar Najmuddin,"Umar Najmuddin,Umar Najmuddin,Tirta Karunia"
Nong the Movie,2016,,Agastya Darma Laksana,"Alvin,Jimmy Royseval Bintang,Nong Pas Bertinus Djong"
Siti Akbari,1939,,Joshua Wong,"Annie Landauw,Titing,Kartolo"
Stephanie Poetri: I Love You 3000,2019,,Joey Faqih,"Joey Faqih,Stephanie Poetri"
Bibir-Bibir Bergincu,1984,,Mardaly Sjarif,"Soendjoto Adibroto,Chintami Atmanegara,Hendra Cipta"
KM 97,2013,4.5,Jose Poernomo,"Restu Sinaga,Febby Febiola,August Melasz"
Time,2010,,Toto Hoedi,"Chintami Atmanegara,Sellen Fernandez,Rocky Jeff"
Terraform,2017,6.4,Jorik Dozy,"Sil Van Der Woerd,Bastomi,Sifa Nur Hasanah"
Glitch: Tersesat dalam Waktu,2009,4.4,David Purnomo,"Fikha Effendi,Amanda Faried,Andhika Pratama"
Pengorbanan,1974,,Susilo S.W.D.,"Fadly,Lenny Marlina,Anna Mathovani"
Garis Bawah,2012,,Ray Farandy Pakpahan,"Ella Gayo,Ayez Kassar,Parto"
