title,year,rating,director,stars
Jampang,1990,,M. Abnar Romli,"Barry Prima,Salleh Yaacob,Niena Karina"
Mr. Spies,2016,,Putri R.A.E. Harbie,Putri R.A.E. Harbie
Sangkuriang,1982,6.1,Sisworo Gautama Putra,"Suzzanna,Ratno Timoer,Ade Irawan"
Moonrise Over Egypt,2018,7.4,Pandu Adi Putra,"Reza Anugrah,James Dixon,Drh Ganda"
Seruan Setan,2018,,Findo Purwono,"Salshabilla Adriani,Stefhani Zamora Husen,Rheina Maryana"
Si Pitung Beraksi Kembali,1976,7.1,Nawi Ismail,"Hamid Arief,Doris Callebaute,Rina Hasyim"
Betina,2006,7.0,Lola Amaria,"Agastya Kandou,Kinaryosih,Tutie Kirana"
Epic Java,2013,7.9,Febian Nurrahman Saktinegara,Febian Nurrahman Saktinegara
Si Buta dari Gua Hantu: Lembah Tengkorak,1990,,Ratno Timoer,"Pitradjaya Burnama,Alba Fuad,S. Parya"
Usia 18,1980,7.1,Teguh Karya,"Zainal Abidin,Kiki Amelia,K.M. Bey Erri"
Demi Dewi,2010,5.3,Charles Gozali,"Wulan Guritno,Winky Wiryawan,Abimana Aryasatya"
Selir Durgaratih III,1994,,Willy Wilianto,"Eddy Chaniago,Lela Anggraini,Bagoes Z. Galistan"
Tirai malam pengantin,1983,,Ida Farida,"Yessy Gusman,Rico Tampatty,Titi Dwijayati"
The Legend of Trio Macan,2013,,Billy Christian,"Dian Aditya,Neni Angraini,Sam Brodie"
Dream Obama,2011,,Damien Dematra,"Atiq Azhari,Ayu Azhari,Maryam Azhari"
Bangkit dari Kubur,2012,5.3,Nayato Fio Nuala,"Mpok Atiek,Sisca Jessica,Reymond Knuliq"
Bergola Ijo,1983,6.7,Arizal,"Barry Prima,Eva Arnaz,Nasrul"
Satria Bergitar,1984,6.8,Nurhadie Irawan,"Urip Arpan,Rhoma Irama,W.D. Mochtar"
SKJ: Seleb Kota Jogja,2010,6.7,Lakonde,"Bagus,Fandy Christian,Fandi"
Surat Untuk Bidadari,1994,6.8,Garin Nugroho,"Nurul Arifin,Hotalili,Ibrahim Ibnu"
Make Money,2013,,Sean Monteiro,"Ucok Baba,Ence Bagus,Tara Basro"
Puspa Indah Taman Hati,1979,7.6,Arizal,"Yessy Gusman,Marlia Hardi,Pong Harjatmo"
The Shaman,2008,5.9,Raditya Sidharta,"Oka Antara,Farah Debby,Dirly Idol"
Rahasia perawan,1975,,Ali Shahab,"Rahayu Effendi,Rachmat Hidayat,Tanty Josepha"
Perkawinan 83,1982,,Wim Umboh,"Zainal Abidin,Sofia Amang,M. Pandji Anom"
Gui ji shuang xiong,1976,5.8,Chang-hwa Jeong,"Fun-Ti Ai,Michael Wai-Man Chan,Pei-Shan Chang"
Syahadat Cinta,2008,8.0,Gunawan Paggaru,"Ahmad Affandy,Ratu Annisa,Minati Atmanegara"
Kembang perawan,2009,,Joko Nugroho,"Dimas Anggara,Kris Anjar,Ryana Dea"
Hello Goodbye,2012,6.9,Titien Wattimena,"Atiqah Hasiholan,Rio Dewanto,Verdi Solaiman"
Sepatu Baru,2014,7.7,Aditya Ahmad,Aditya Ahmad
"Dad, Why Am I Different?",2011,6.7,Findo Purwono,"Dinda Hauw,Surya Saputra,Kiki Azhari"
"Oh, My God!",2008,4.2,Rako Prijanto,"Desta Club 80s,Deddy Mahendra Desta,Maia Estianty"
Enam Djam di Djogja,1951,6.2,Usmar Ismail,"R.D. Ismail,Del Juzar,Aedy Moward"
Angker,2014,6.7,Muhammad Yusuf,"Lia Waode,Muhammad Iqbal,Armeena Yusuf"
Baracas: Barisan Anti Cinta Asmara,2017,6.1,Pidi Baiq,"Ajun Perwira,Ringgo Agus Rahman,Budi Doremi"
Hantu Biang Kerok,2009,3.1,We We,"Elvy Sukaesih,Fadli Fuad,Kamidia Radisti"
Maling Kutang,2009,3.5,Rako Prijanto,"Indra Birowo,Deswita Maharani,Kinaryosih"
Wening,2019,,Agus Pestol,"Slamet Ambari,Nungki Kusumastuti,Ruth Marini"
Hantu Cantik Kok Ngompol,2016,,Emil G. Hampp,"Emil G. Hampp,Sarah Azhari"
Cintapuccino,2007,5.7,Rudy Soedjarwo,"Sissy Priscillia,Mpok Atiek,Aditya Herpavy"
Jenny,2016,,Joko Anwar,"Joko Anwar,Asmara Abigail"
Bermula dari A,2011,8.6,B.W. Purba Negara,"B.W. Purba Negara,B.W. Purba Negara,Bagus Suitrawan"
Bulan Tertusuk Ilalang,1995,7.3,Garin Nugroho,"Wiwiek Handawiyah,Bambang S. Jayantoro,Pramana Padmodarmaya"
Detak,2020,,Yongki Ongestu,"Yongki Ongestu,Della Dartyan"
Rocket Rain,2013,6.2,Anggun Priambodo,"Narpati Arwangga,Rain Chudori,Maya Norman"
Putri Kuntilanak,1988,,Atok Suharto,"Sally Marcellina,Etick Gantira,Dolly Martin"
Kiko in the Deep Sea,2019,,Sally Wongso,"Sally Wongso,Arbani Yasiz,Felicya Angellista"
Air Mata Kekasih,1971,,Liliek Sudjio,"Farouk Afero,A.N. Alcaff,S. Bono"
Southern Winds,1993,6.3,Mike De Leon,"2 more credits,Eros Djarot,Gotot Prakosa"
The Carousel Never Stops Turning,2017,6.8,Ismail Basbeth,"Cornelio Sunny,Dhea Ananda,Leilani Hermiasih"
Why Do I Sing,2017,,Anggi Septianto,Anggi Septianto
"Harap tenang, ada ujian!",2006,7.4,Ifa Isfansyah,"Fendy Riyadi,Takahiro Saito,Hiroaki Kato"
Ksatria,2019,,Baf Sjamsuddin,"Van Jhoov,Daniel Adnan,Yusof B. Mohd Kassim"
Langit Biru,2011,6.5,Lasja Fauzia,"Annisa Pinandita,Cody Mcclendon,Joko Anwar"
Tulalit,2008,3.1,Saptadji,"Meriam Bellina,Edric Chan,Shareefa Daanish"
9 Summers 10 Autumns,2013,8.3,Ifa Isfansyah,"Agni P. Arkadewi,Ence Bagus,Hayria Faturrahman"
Of Love and Eggs,2004,6.8,Garin Nugroho,"Fauzi Baadila,Nova Eliza,Jaja Mihardja"
Dreams,2016,,Guntur Soeharjanto,"Fauzi Baadila,Krosboi Band,Jodhy Bejo"
Cinta Segi Tiga,1983,5.8,Yung Indrajaya,"Alwi A.S.,Rhoma Irama,Ade Irawan"
Suster N,2007,4.5,Viva Westi,"Atiqah Hasiholan,Wulan Guritno,Bob Seven"
Perjanjian Terlarang,1990,,B.Z. Kadaryono,"Sally Marcellina,Johan Saimima,Wenda Wijaya"
Ikhsan: Mama I Love You,2008,,Rico M. Bradley,"Wulan Guritno,Fachri Muhammad,Ibnu Jamil"
Laskar Pemimpi,2010,5.8,Monty Tiwa,"Masayu Anastasia,Wahyu Rudi Astadi,Candil"
BCL & Ariel Noah: Menghapus Jejakmu,2020,,Jodieocto,"Jodieocto,Bunga Citra Lestari"
Rio sang juara,1989,,Muchlis Raya,"Zainal Abidin,Ayu Azhari,Billy Chong"
Godaan membara,1994,,Dhany Firdaus,"Aldonna,Sally Marcellina,Malfin Shayna"
Viva Indonesia,2001,7.2,Ravi L. Bharwani,"Ravi L. Bharwani,Aryo Danusiri"
Wanita Tetap Wanita,2013,6.7,Irwansyah,"Ganindra Bimo,Marcell Domits,Fahrani"
Relationshit,2015,,Herdanius Larobu,"Jovial Da Lopez,Natasha Wilona,Anjani Dina"
Istri Bo'ongan,2010,4.0,Arie Azis,"Bari Bintang,Gaston Castano,Fahrani"
Gasing Tengkorak,2017,4.8,Jose Poernomo,"Nikita Willy,Rendy Khrisna,Voke Victoria"
Turang,1958,,Bachtiar Siagian,"Nizmah Zaglulsyah,Omar Bach,Ahmadi Hamid"
Sukep: The Movie,2019,7.8,Akil Wasa,"Kamil Onte,Ivan Seventeen,Irfan Govinda"
Cherrybelle: Love Is U,2012,7.5,Hanny Saputra,"Margareth Angelina,Cherly Yuliana Anggraini,Jessyca Stefani Auryn"
Dukun lintah,1981,4.4,Ackyl Anwari,"Susanna Caecilia,Alex Kembar,Hendra Cipta"
Gue Kapok Jatuh Cinta,2006,4.5,Thomas Nawilis,"Oka Antara,Big Dicky,Dude Harlino"
The Ghost of Mortuary,2009,5.1,Nayato Fio Nuala,"Imelda Lubis,Uwie Jasmine,Mandala Abadi Shoji"
Lost in Papua,2011,6.2,Irham Acho Bahtiar,"Fanny Fabriana,Fauzi Baadila,Piet Pagau"
Benci Disko,2009,2.9,Rako Prijanto,"Tora Sudiro,Vincent Ryan Rompies,Cewek Arab"
Lara jonggrang,1983,5.6,Jimmy Atmaja,"Soendjoto Adibroto,Azwar An,Minati Atmanegara"
Oom pasikom,1990,,Chaerul Umam,"Rachmat Hidayat,Ferry Iskandar,Niniek L. Karim"
Purple and Violet,2005,6.3,Rako Prijanto,"Dian Sastrowardoyo,Rizky Hanggono,Rima Melati"
Tri Mas Getir,2008,5.1,Rako Prijanto,"Tora Sudiro,Indra Birowo,Vincent Ryan Rompies"
Kisah 3 Titik,2013,4.4,Bobby Prabowo,"Donny Alamsyah,Hafez Ali,Lola Amaria"
Tongkat sakti,1982,,Willy Wilianto,"Anna Tairas,Boy Tirayoh,Pitradjaya Burnama"
Errorist of Seasons,2017,,Rein Maychaelson,"Rein Maychaelson,Rein Maychaelson,Dipta Diwangkara"
Kalung Jailangkung,2011,5.8,Nayato Fio Nuala,"Ghea D'Syawal,Reymond Knuliq,Djati Kusuma"
Damarwulan-Minakjinggo,1983,5.2,Liliek Sudjio,"Zainal Abidin,Baron Ahmadi,Chintami Atmanegara"
Strawberry Surprise,2014,5.8,Hanny Saputra,"Reza Rahadian,Acha Septriasa,Olivia Lubis Jensen"
Arini II,1988,7.5,Wim Umboh,"Joice Erna,Rano Karno,Ida Iasha"
99% Muhrim: Get Married 5,2015,,Fajar Bustomi,"Meriam Bellina,Anggika Bolsterli,Steven Craig"
Si Doel Anak Modern,1976,6.3,Sjuman Djaya,"Wahab Abdi,Farouk Afero,Achmad Albar"
Badut-Badut Kota,1993,8.0,Ucik Supra,"Dede Yusuf,Ayu Azhari,Sofyan Sharna"
Tanah Air Beta,2010,7.9,Ari Sihasale,"Asrul Dahlan,Alexandra Gottardo,Thessa Kaunang"
Gema hati bernyanyi (setitik embun),1987,,Adisoerya Abdi,"Gina Adriana,Roy Marten,Fakhri Amrullah"
Perjaka Terakhir 2,2010,4.6,Jacky,"Ringgo Agus Rahman,Fahrani,Bari Bintang"
Liar,2008,4.6,Rudy Soedjarwo,"Raffi Ahmad,Irgi Fahrezi,Intan Nuraini"
Death Sentence in Indonesia,2013,3.7,Fender Dickinson,"Frank Amado,Ingrid Amado,Monique Amado"
Demi Ucok,2012,6.8,Sammaria Simanjuntak,"Geraldine Sianturi,Mak Gondut,Saira Jihan"
Mafia Insyaf,2010,5.0,Otoy Witoyo,"Atiqah Hasiholan,Tora Sudiro,Indah Kalalo"
Heart Beat,2015,,Hadrah Daeng Ratu,"Sivia Azizah,Agatha Pricilla,Purwacaraka"
Mudik lebaran,2011,,Muchyar Syamas,"Wiwid Gunawan,Irwansyah,Leroy Osmani"
Warisan Olga,2015,,Raymond Handaya,"Olga Syahputra,Billy Syahputra,Tarra Budiman"
Tiren: Mati Kemaren,2008,3.2,Emil G. Hampp,"Dewi Perssik,Baron Hermanto,Sarah Azhari"
Ikut-ikutan,1990,,Arizal,"Mathias Agus,Fuad Alkatiri,Ayu Azhari"
Namaku Dick,2008,4.5,Teddy Soeriaatmadja,"Tora Sudiro,Marissa Nasution,Slamet Rahardjo"
Ai Lop Yu Pul,2009,3.4,Winaldha E. Melalatoa,"Ricky Harun,Ria Irawan,Mike Lucock"
Pocong Jumat Kliwon,2010,3.0,Nayato Fio Nuala,"Arumy Bachsin,Sazha Carissa,Dana Cole"
Bukan Malin Kundang,2009,6.0,Iqbal Rais,"Ringgo Agus Rahman,Deddy Mahendra Desta,Sissy Priscillia"
Pelet Kuntilanak,2011,3.2,Nayato Fio Nuala,"Debby Ayu,Cinta Dewi,Angie Yulia"
Te[rekam],2010,3.6,Nayato Fio Nuala,"Nayato Fio Nuala,Monique Henry,Olga Lydia"
Everyday Is a Lullaby,2020,,Putrama Tuta,"Anjasmara,Raihaanun Soeriaatmadja,Fahrani"
#MoveOnAja,2019,6.2,Hestu Saputra,"Marthino Lio,Asmara Abigail,Uus"
Lupus III,1989,6.2,Edi Siswanto,"Gusur Adhikarya,Boim,Gito Gilas"
You Can't Hear Me. You Can't See Me,2013,,Awi Suryadi,"Andrew Suleiman,Hannah Al Rashid,Verdy Bhawanta"
Flowers in the Wall,2017,,Eden Junjung,Eden Junjung
Love & Faith,2015,7.9,Benni Setiawan,"Verdi Solaiman,Laura Basuki,Rio Dewanto"
Perempuan tanpa dosa,1978,,Nico Pelamonia,"Jenny Rachman,Gito Rollies,Farida Pasha"
Kafan Sundel Bolong,2012,3.6,Yoyok Subagyo,"Azis Gagap,Arumy Bachsin,Andreano Philip"
Darah perjaka,1985,5.0,Ackyl Anwari,"Machfud Abud,Advent Bangun,H.I.M. Damsyik"
Republic of Twitter,2012,7.4,Kuntz Agus,"Laura Basuki,Abimana Aryasatya,Ben Kasyafani"
Empire of the Spiritual Ninja,1988,3.6,Godfrey Ho,"Laura Bells,Tom Berlin,Sorapong Chatree"
Bintang Jatuh,2000,5.7,Rudy Soedjarwo,"Daniel Arizona,Marcella Zalianty,Dian Sastrowardoyo"
Antri Dong,1990,3.8,Arizal,"Nurul Arifin,Eva Arnaz,Diding Boneng"
Ratapan anak tiri,1973,,Sandy Suwardi Hasan,"Sukarno M. Noor,Faradilla Sandy,Tanty Josepha"
Pelet,1987,,Imam Tantowi,"Husswein Asgar,Lina Budiarty,Anto Chaniago"
Time Stops,2017,8.3,Bobby Zarkasih,"Bobby Zarkasih,Ananta Rizky,Ayusita Destiana"
Warok singo kobra,1982,,Nawi Ismail,"Soendjoto Adibroto,M. Pandji Anom,Eva Arnaz"
Misteri Pasar Kaget,2012,5.0,Wimbadi J.P.,"Erly Ashy,Permata Sari Harahap,Liek Suyatno"
Semua Sudah Dimaafkan Sebab Kita Pernah Bahagia,2017,,Paul Agusta,"Paul Agusta,Katia Engel,Paul Agusta"
Roh,2007,4.4,Atok Suharto,"Angel Bella,Ryan Delon,Zaenal Abidin Domba"
Aku Ingin Ibu Pulang,2016,7.7,Monty Tiwa,"Jefan Nathanio,Nirina Zubir,T. Rifnu Wikana"
Pagar Kawat Berduri,1961,7.0,Asrul Sani,"Wahab Abdi,Soekarno M. Noer,Ismed M. Noor"
Si Rawing,1991,,Denny H.W.,"Beta Alamanda,Yunita Sarah Boom,Tisna S. Brata"
Si Kabayan Mencari Jodoh,1994,4.7,Maman Firmansyah,"Didi Petet,Novi Gawatini,Rachmat Hidayat"
Perempuan Malam,1988,,Atok Suharto,"Harry Capri,Rukman Herman,Cherry Ivonne"
Susah Jaga Keperawanan di Jakarta,2010,4.7,Joko Nugroho,"Masayu Anastasia,Rifky Balweel,Indra Birowo"
Belkibolang,2011,5.8,Edwin,"Alexa,Deddy Mahendra Desta,Panji Rahadi"
Bangkitnya Suster Gepeng,2012,4.4,K. Team,"Jenny Cortez,Roro Fitria,Shiddiq Kamidi"
Air Mata Surga,2015,5.7,Hestu Saputra,"Dewi Sandra,Richard Kevin,Morgan Oey"
Pembalasan Nini Towok,1982,,B.Z. Kadaryono,"Farida Pasha,W.D. Mochtar,Joice Erna"
Kabar Gembira,2009,,Nicholas Yudifar,"Damas Cendekia,Damas Cendekia,Balham Wadja Siagian"
Setan Facebook,2010,4.3,Helfi C.H. Kardit,"Chindy Anggrina,Boy Hamzah,Jehan Sienna"
Koper,2006,5.2,Richard Oh,"Anjasmara,Joko Anwar,Djenar Maesa Ayu"
Musim bercinta,1978,,Arizal,"Adisoerya Abdi,M. Pandji Anom,Eva Arnaz"
Hantu Gunung Kawi,2017,6.0,Nayato Fio Nuala,"Yeos Astawan,Indra Birowo,Maxime Bouttier"
Luka hati sang bidadari,1983,,Nico Pelamonia,"Johan Saimima,Nina Anwar,S. Bono"
Mendadak Dangdut,2006,6.5,Rudy Soedjarwo,"Titi Kamal,Kinaryosih,Dwi Sasono"
Tumbal Jailangkung,2011,5.8,Nayato Fio Nuala,"Soraya Larasati,Denny Weller,Violenzia Jeanette"
Apanya Dong,1983,,Nya Abbas Akup,"Eva Damayanti,Mama Hengky,Kang Ibing"
Dunia Mereka,2006,,Lasja Fauzia,"Adinia Wirasti,Christian Sugiono,Oka Antara"
Kingsme: Secret of The Tube,2017,,Kenny Saputra,Kenny Saputra
Kung Fu Pocong Perawan,2012,3.5,Yoyok Subagyo,"Jessica Iskandar,Olga Syahputra,Daus Mini"
Laki-laki binal,1978,,Arizal,"M. Pandji Anom,Emmy Husein,Roy Marten"
Big Village,1969,,Usmar Ismail,"Rachmat Hidayat,Rosihan Anwar,M.S. Derita"
Dari pintu ke pintu,1991,,B.Z. Kadaryono,"Nurul Arifin,Basuki,Lina Budiarty"
Serambi,2005,,Lianto Luseno,"Lianto Luseno,Garin Nugroho"
Pengejar Angin,2011,6.8,Hanung Bramantyo,"Giorgino Abraham,Wanda Hamidah,Agus Kuncoro"
Ruwatan,2020,,Ernest Lesmana,"Ernest Lesmana,Vonny Anggraini,Johannes de Britto"
Raiders of the Doomed Kingdom,1985,5.7,Sumat Saichur,"Sorapong Chatree,Manop Aswathep,Peter Ramwa"
12:06 Rumah Kucing,2017,3.1,Chiska Doppert,"Hotnida Harahap,Masayu Anastasia,Endy Arfian"
Pocong Setan Jompo,2009,3.1,Findo Purwono,"Jonathan Frizzy,Uli Auliani,Bella Esperance"
Hippies lokal,1976,,Benyamin S.,"Hamid Arief,S. Bagio,Benno Benyamin"
Planet Mars,2008,,Reka Wijaya,"Artika Sari Devi,Yogi Finanda,Adhitya Putri"
Semau gue,1977,,Arizal,"Jenny Rachman,Rano Karno,Yessy Gusman"
The Escape,2013,5.7,Andre Surya,Andre Surya
Dalam Mihrab Cinta,2010,7.5,Habiburrahman El Shirazy,"Dude Harlino,Asmirandah,Meyda Sefira"
The Mother's Land,2020,,Kevin Rahardjo,"Kevin Rahardjo,Mikael Farady"
Poconggg Juga Pocong,2011,6.2,Nayato Fio Nuala,"Ajun Perwira,Rizna Nyctagina,Shapira Indah"
Queen Bee,2009,4.6,Fajar Nugros,"Tika Putri,Oka Antara,Reza Rahadian"
Hati Karina,2013,,Toto Hoedi,"Toto Hoedi,Ferry Ardiansyah,Framly"
Pontianak,2017,8.0,Nosa Normanda,"Nosa Normanda,Agung Setiawan,Ratu Annisaa Suryasumirat"
Wa'alaikumussalam Paris,2016,8.4,Benni Setiawan,"Boris Bokir,Nino Fernandez,Fransoa"
Nakalnya anak-anak,1980,,Susilo S.W.D.,"Zainal Abidin,Gina Adriana,Kiki Amelia"
I Love You Masbro,2012,4.8,Raymond Handaya,"Thya Ariestya,Epy Kusnandar,Mayang Naomi"
Bodoh-bodoh mujur,1981,,Arizal,"Dudung A. Hadi,Cassin Abbas,Bram Adrianto"
Residivis,1985,,Imam Tantowi,"Wieke Widowati,Advent Bangun,Amin Ansari D."
The Lawyers: Pokrol Bambu,2019,,Fanny Azar,"Dicky Chandra,Kartika Berliana,Roy Marten"
Gerbang 13,2004,,Nanda J. Umbara,"Norman R. Akyuwen,Lia Chandra,Donna Agnesia"
Mama Mama Jagoan,2018,6.9,Sidi Saleh,"Widyawati,Niniek L. Karim,Ratna Riantiarno"
Kuntilanak Kesurupan,2011,2.7,Nayato Fio Nuala,"Irish Bella,Sazha Carissa,Azis Gagap"
The Jak,2007,,Andibachtiar Yusuf,"Andibachtiar Yusuf,Andibachtiar Yusuf,2 more credits"
Ranjang pengantin,1974,,Teguh Karya,"Slamet Rahardjo,Lenny Marlina,Amalia Hadi"
Lewat Tengah Malam,2007,5.1,Nayato Fio Nuala,"Cathrine Wilson,Joanna Alexandra,Andhika Pratama"
Ada Apa dengan Pocong?,2011,5.2,Nayato Fio Nuala,"Zacky Zimah,Joanna Alexandra,Dallas Pratama"
Leak,2007,3.0,Achiel Nasrun,"Meriam Bellina,Ferry Irawan,Piet Pagau"
Bangun Lagi Dong Lupus,2013,6.8,Benni Setiawan,"Miqdad Addausy,Acha Septriasa,Jeremy Christian"
Merem Melek,2008,2.6,Nayato Fio Nuala,"Miller,Yama Carlos,Cathrine Wilson"
Pulau cinta,1978,,Ali Shahab,"Cahyono,Tonny Edam,Moh Mochtar"
Mandala penakluk satria tar tar,1988,,Ackyl Anwari,"Barry Prima,Advent Bangun,Yurike Prastica"
Istriku Sayang Istriku Malang,1977,,Wahab Abdi,"Yan Bastian,Ria Irawan,Broery Marantika"
Marion Jola: Favorite Sin,2020,7.6,Risky Jusuf,"Risky Jusuf,Marion Jola"
Bodog and Darpig: Life Ghost,2021,,Rodza,
Family Story,2018,,Narindro Aryo Hutomo,"Lily Suardi,Nasywa Syahira Faylasufa,Hestu Wreda"
Jalanin Aja,2017,,Joko Anwar,Joko Anwar
Bebek Belur,2010,4.9,Adrianto Sinaga,"Didi Petet,Deddy Mizwar,Slamet Rahardjo"
Pocong Kamar Sebelah,2009,4.3,Nayato Fio Nuala,"Farah Mandala,Rahma Azhari,Reza Pahlevi"
Babad Tanah Leluhur II,1991,,Denny H.W.,"Fitria Anwar,Gito Gilas,Syamsuri Kaempuan"
Mocca: Life Keeps on Turning,2011,8.0,Ari Rusyadi,"Indra Massad Effendy,Arina Ephipania,Toma Pratama"
Saur Sepuh V: Istana Atap Langit,1992,,Torro Margens,"Torro Margens,Murti Sari Dewi,Golden Kasmara"
Reco,2016,,Agustinus Dwi Nugroho,"Hadi Manuto,Sugeng Riyanto,Drs. Susanto"
Hantu Aborsi,2008,2.6,Toto Hoedi,"Happy Salma,Okan Kornelius,Bulan Ayu"
BFF Best Friends Forever,2017,,Estelle Linden,"Yova Gracia,Kezia Karamoy,Ineke Valentina"
Roh,1989,,Susilo S.W.D.,"Enny Beatrice,Pong Harjatmo,Sally Marcellina"
Lima harimau nusantara,1991,,Pitradjaya Burnama,"Elly Ermawati,Baron Hermanto,Arthur Kaunang"
Di Bawah Lindungan Ka'bah,1981,,Asrul Sani,"Usman Effendy,Camelia Malik,Asrul Sani"
Raksasa Dari Jogja,2016,,Monty Tiwa,"Karina Salim,Abrar Adrian,Unique Priscilla"
Suporter Masuk Pesantren,2019,,Quraisy Mathar,"Zulkifli Suardi,George Nataniel,Benyamin Yesnath"
Bendera,2002,7.1,Nan Triveni Achnas,"Hafidz Khoir,Nuansa Jawadwipa,Wina Hendrawan"
3 Pocong Idiot,2012,4.6,Nayato Fio Nuala,"Ajun Perwira,Joshua Suherman,Jordi Onsu"
Lyodra: Sabda Rindu,2021,,Bobby Adrian V,Bobby Adrian V
Siluman kera,1988,,M. Abnar Romli,"Barry Prima,Advent Bangun,Tiara Jacquelina"
Kawin Laris,2009,6.0,Cassandra Massardi,"Vincent Ryan Rompies,Zumi Zola,Candil"
Birthplace,2018,,Sil Van Der Woerd,
Danau Hitam,2014,5.9,Jose Poernomo,"Ganindra Bimo,Nadine Chandrawinata,Maria Selena"
Dewi Cinta,1987,,Abdi Wiyono,"Fauziah Ahmad Daud,Richie Ricardo,Azmil Mustapha"
Bayangan Cinta,1987,,Abdi Wiyono,"Lydia Kandou,Fauziah Ahmad Daud,Eman Manan"
Vina Bilang Cinta,2005,5.2,Indra Yudhistira,"Callista Argentina,Delon,Elmayana Sabriena"
Susuk Pocong,2009,2.9,Findo Purwono,"Andi Soraya,Dewi Perssik,Restu Sinaga"
Hujan Tak Jadi Datang,2009,7.0,Yosep Anggi Noen,"Yosep Anggi Noen,Yosep Anggi Noen,Andrea Andjaringtyas Adhi"
Lurik Biru: The Perspectives,2019,,Wahyu F. Riyanto,"Adi Purwanto,Zainal Bahri,Sigon"
Dewi Angin Angin,1994,5.2,Ackyl Anwari,"Inneke Koesherawati,Chris Michael,Asep Bima"
Selendang Rocker,2009,6.1,Awi Suryadi,"Candil,Saykoji,Ramzi"
Hattrick,2012,7.7,Robert Ronny,"Arumy Bachsin,Pong Harjatmo,Michael Jakarimilena"
Setengah sendok teh,2007,,Ifa Isfansyah,"Ifa Isfansyah,Titi Dibyo,Suhartono"
"Sorry, I Impregnated Your Spouse",2007,5.6,Monty Tiwa,"Eddie Karsito,Mulan Kwok,Ringgo Agus Rahman"
On Friday Noon,2016,6.8,Luhki Herwanayogi,"Luhki Herwanayogi,Luhki Herwanayogi"
Sarinah,2011,,Karr Kwee,"Ria Irawan,Alex Komang,Nicholas Saputra"
Naruto bersyukur,2010,,Marsha Timothy,"Inong Nidya Ayu,Ary Kirana,Vincent Rompies"
Coblos Cinta,2008,2.7,Findo Purwono,"Nadia Saphira,Tommy Kurniawan,Jessica Iskandar"
Layar Hidup: Tanjung Priok/Jakarta,2001,6.4,Asep Kusdinar,"Asep Kusdinar,Garin Nugroho"
Unlimited Love,2014,8.0,Haryanto Corakh,"Prisia Nasution,Dallas Pratama,Restu Sinaga"
"Toha, Pahlawan Bandung Selatan",1961,,Usmar Ismail,"Wahab Abdi,Bram Adrianto,Rachmat Hidayat"
Panther,1995,,S.A. Karim,"Barry Prima,Malfin Shayna,Mia Miniarti"
Kejar Amerika,2004,5.9,David Sungkar,"Pretty Asmara,Richard Chang,Kesso"
Biola Tak Berdawai,2003,6.7,Sekar Ayu Asmara,"Ria Irawan,Nicholas Saputra,Jajang C. Noer"
Mirror,2005,6.9,Hanny Saputra,"Nirina Zubir,Jonathan Lesmana,Ichi Nuraini"
Pendekar ksatria,1988,,Jopi Burnama,"Barry Prima,Wenny Rosaline,Advent Bangun"
Sehidup (Tak) Semati,2010,6.6,Iqbal Rais,"Joanna Alexandra,Bolot,Fanny Fabriana"
Kasmaran,1987,,Slamet Rahardjo,"Afrizal Anoda,Rossy S. Dradjat,Eka Gandara"
Gema kampus 66,1991,,Nico Pelamonia,"Ariessa Suryo,Nurul Arifin,Deddy Mizwar"
KOTAK: Rock N Love,2014,,,
Begadang karena penasaran,1980,,Liliek Sudjio,"Kardjo Ac-Dc,Hamid Arief,Bokir"
Ayat-Ayat Adinda,2015,5.4,Hestu Saputra,"Tissa Biani Azzahra,Cynthia Lamusu,Surya Saputra"
Dendam Anak Buangan,1987,,Dasri Jacob,"Wenny Rosaline,Yurike Prastica,Yan Bastian"
Pergaulan,1994,,Yonky Souhoka,"Sally Marcellina,F.X. Bambang,Bagoes Z. Galistan"
Janda Gambreng,2009,,Republik Tebe,"Republik Tebe,Rahma Azhari"
Plastic Blastic,2018,,Zidny Nafian,"Zidny Nafian,Zidny Nafian"
Serdadu Kumbang,2011,7.2,Ari Sihasale,"Yudi Miftahudin,Aji Santosa,Fachri Azhari"
Kembang semusim,1980,,M.T. Risyaf,"Mieke Wijaya,Marisa Haque,Simon Cader"
Bidadari Jakarta,2010,7.0,Nanang Istiabudi,"Fahmi Aditya,Ayang,Poppy Bunga"
Tujuh Manusia Harimau,1987,6.2,Imam Tantowi,"Shinta Kartika Dewi,Dina Diana,Nasrul Ilhar"
Hantu Jembatan Ancol,2008,3.6,Arie Azis,"Dennis Adhiswara,Nadila Ernesta,Ben Joshua"
Mistery in Hongkong,1974,,Iksan Lahardi,"Hendra Cipta,Eva Devi,Fadly"
Resia Boroboedoer,1928,7.0,Olive Young,
Diary of Cattle,2019,,Lidia Afrilita,"Lidia Afrilita,David Darmadi,Lidia Afrilita"
Bising: Noise & Experimental Music in Indonesia,2014,7.4,Adythia Utama,"Adythia Utama,Riar Rizaldi,Danif Pradana"
Chump,2018,,Sigit Pradityo,"Tara Ellena,Windy Anandiha,Makoto"
Senggol Bacok,2010,6.0,Iqbal Rais,"Kunto Aji,Jonny Iskandar,Kinaryosih"
Cinta Setaman,2008,6.0,Harry Suharyadi,"Nicholas Saputra,Alex Abbad,Dennis Adhiswara"
